latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
38.69612,-90.13407,319.6,0.47,0.4,2026-08-30,0741,N20,nominal,2.0NRT,294.99,3.74,N
38.6938,-90.14555,310.2,0.47,0.4,2026-08-30,0741,N20,nominal,2.0NRT,291.67,1.38,N
38.69315,-90.14017,312.4,0.47,0.4,2026-08-30,0741,N20,nominal,2.0NRT,292.45,1.38,N
38.0373,-85.71548,303.34,0.39,0.36,2026-08-30,0741,N20,nominal,2.0NRT,291.65,0.69,N
39.02732,-93.93561,315.69,0.47,0.48,2026-08-30,0741,N20,nominal,2.0NRT,292.2,2.02,N
38.00702,-86.145,330.08,0.38,0.36,2026-08-30,0741,N20,nominal,2.0NRT,292.49,2.16,N
38.00306,-86.1415,320.99,0.38,0.36,2026-08-30,0741,N20,nominal,2.0NRT,291.58,1.64,N
38.00375,-86.14583,308.54,0.38,0.36,2026-08-30,0741,N20,nominal,2.0NRT,291.22,2.16,N
37.23681,-82.03767,305.62,0.48,0.4,2026-08-30,0741,N20,nominal,2.0NRT,290.14,0.83,N
37.23426,-82.04414,309.81,0.48,0.4,2026-08-30,0741,N20,nominal,2.0NRT,290.89,1.58,N
37.23323,-82.03886,314.62,0.48,0.4,2026-08-30,0741,N20,nominal,2.0NRT,291.23,1.58,N
37.80767,-85.69022,316.9,0.39,0.36,2026-08-30,0741,N20,nominal,2.0NRT,290.71,1,N
38.07545,-87.53236,302.41,0.39,0.36,2026-08-30,0741,N20,nominal,2.0NRT,290.93,0.6,N
38.01449,-87.68013,299.8,0.39,0.37,2026-08-30,0741,N20,nominal,2.0NRT,289.76,0.44,N
38.51968,-92.58278,303.26,0.4,0.44,2026-08-30,0741,N20,nominal,2.0NRT,290.23,0.41,N
38.18108,-90.33656,307.57,0.47,0.4,2026-08-30,0741,N20,nominal,2.0NRT,292.81,1.11,N
38.36769,-92.42673,315.58,0.39,0.44,2026-08-30,0741,N20,nominal,2.0NRT,290.17,1.66,N
38.76959,-97.62849,317.74,0.37,0.58,2026-08-30,0741,N20,nominal,2.0NRT,292.74,2.55,N
38.22143,-91.73253,300.06,0.54,0.42,2026-08-30,0741,N20,nominal,2.0NRT,289.04,0.55,N
38.00883,-90.0795,321.18,0.46,0.39,2026-08-30,0741,N20,nominal,2.0NRT,293.2,2.85,N
37.9763,-90.06663,305.68,0.46,0.39,2026-08-30,0741,N20,nominal,2.0NRT,292.07,0.66,N
37.96684,-90.07908,318.16,0.46,0.39,2026-08-30,0741,N20,nominal,2.0NRT,292.86,2.51,N
37.89266,-90.53452,299.1,0.48,0.4,2026-08-30,0741,N20,nominal,2.0NRT,289.01,0.68,N
36.97341,-84.58516,304.69,0.4,0.37,2026-08-30,0741,N20,nominal,2.0NRT,291.78,0.58,N
